Title	ISBN	Subjects
Asteroid man		|English Science fiction||Extraterrestrial beings||Fiction|
Lady of the lamp	9780980398311	|Grail||Fiction||Knights and knighthood|
"Quo vadis"		|Church history||Fiction||History|
Phoenix by Three	9781963100174	|Crime||Science|
Yours Truly, Johnny Dollar #3	9781963307047	|Comics & graphic novels, general||Crime|
Crooked Tree	9780472115310	|Horror & ghost stories||Suspense||Horror - General||Fiction||Fiction - Horror||Mystery/Suspense||Fiction / Suspense||Black bear||Ottawa Indians|
Great Tales of Terror	9780486419381	|Fiction anthologies & collections||Horror & ghost stories||Short stories||Horror - Anthologies||Fiction - Horror||Fiction||Anthologies (multiple authors)||Fiction / Horror||Horror - General||Horror tales|
Bumping and Bouncing	9780670819911	|Fiction||Picture books||Children's Baby/Preschool||Children: Babies & Toddlers||General||Juvenile Fiction / General||Family||Stories in rhyme|
Tame the Wild Heart	9780671493981	|Romance - Historical||Fiction||Nonfiction||Romance: Historical||Non-Classifiable||Nonfiction - General|
Legion	9780671508487	|Horror - General||Fiction / General||Fiction||Fiction - Horror|
GOOD MORNING SUNSHINE	9780671547332	|Play||Fiction||Children's Baby/Preschool||Children: Babies & Toddlers||Stories in rhyme||General||Non-Classifiable||Animals||Morning|
Forever & A Day	9780505520630	|Romance - Historical||Fiction||Fiction - Romance||Romance: Modern||Romance - Contemporary|
8 Million Ways to Die	9780515080902	|Mystery & Detective - General||Movie/Tv Tie-Ins||Mystery & Detective - Hard-Boiled||Fiction||Fiction - Mystery/ Detective|
Dangerous Funeral	9780515098457	|Mystery and detective stories||Fiction||Fiction - Mystery/ Detective||Mystery/Suspense||Mystery & Detective - General|
Ladies' Choice	9780515119596	|Romance: Historical||Fiction||Fiction - Romance||Romance - Historical||Fiction / General|
The Facts of Death (James Bond Spy Series)	9780515125504	|Technological||Fiction - Espionage / Thriller||Fiction||Fiction / General||Action & Adventure|
Gunsmith Giant 10	9780515140286	|Westerns - General||Fiction||Fiction - Western||Fiction / Westerns||General|
Cordelia's Honor	9780671578282	|Science Fiction||Science Fiction - Adventure||Fiction||Fiction - Science Fiction||Science Fiction - Space Opera||Fiction / Science Fiction / General|
Lord Mountbatten	9780671611088	|Biography: general||Naval forces & warfare||Mountbatten of Burma, Louis Mountbatten,||Earl,||Biography / Autobiography||Movie/Tv Tie-Ins||England||General||Biography & Autobiography / General||Earl||1900-1979||Fiction|
Saving the President	9780671620233	|Mystery and detective stories||Juvenile fiction||Children's Books/Ages 9-12 Fiction||General||Lincoln, Abraham,||Fiction||Juvenile literature||Lincoln, Abraham||Ream, Vinnie||Assassination||1809-1865|
Bone-Crack	9780671680763	|Mystery & Detective - General||Fiction / Mystery & Detective / General||Fiction - Mystery/ Detective||Fiction|
Body Scissors	9780671707538	|Mystery & Detective - General||Literary collections||Fiction||Fiction - Mystery/ Detective||Mystery/Suspense||Fiction / Mystery & Detective / General||American literature||Mexican American authors||Mexican Americans|
Tripwire	9780671708887	|Mystery & Detective - Police Procedural||Fiction||Fiction - Mystery/ Detective||Mystery/Suspense||Fiction / General||Mystery & Detective - General|
Memory Prime (Star Trek, No 42)	9780671743598	|Science Fiction - Star Trek||Fiction - Science Fiction||Fiction||Fiction / Science Fiction / General||Science Fiction|
Cop Hater (87th Precinct Mysteries)	9780671775476	|Mystery & Detective - Police Procedural||Fiction||Fiction - Mystery/ Detective||Mystery/Suspense||Mystery & Detective - Series||Fiction / Mystery & Detective / General||Mystery & Detective - General|
IT CHANCED TO RAIN	9780671778200	|General||Non-Classifiable||Children: Grades 1-2||Fiction||Children's 4-8||Animals||Stories in rhyme|
THE GODS OF HELL (Darkman, No 3)	9780671794354	|Horror & ghost stories||Fiction - Horror||Horror||Horror - General||Fiction / Science Fiction / General||Fiction|
Parsival	9780671822255	|General||Non-Classifiable||Fiction||Fiction - General|
Boy in the Doghouse, A	9780671866983	|General||Juvenile Fiction / General||Dogs||Fiction||Children's 9-12||Training||Children: Grades 3-4|
Derrydale Children's Library	9780517141434	|Physically handicapped||Orphans||Fiction||Juvenile Fiction||Sale Children - Children's Books - Ages 9-12||Children: Grades 4-6||People & Places - Europe||Classics||Non-Classifiable||Sale Books||Family - Orphans & Foster Homes||Gardens|
Lost In Slumberland 	9780517491867	|Non-Classifiable||Sale Books||Literary recreations||Nonfiction - General||Fantasy||Fiction|
COMIC BOOK PRICE GUIDE #14 P (Official Overstreet Comic Book Price Guide)	9780517552964	|Graphic Satire And Humor||Antiques||Antiques & Collectibles||Antiques / Collectibles||Antiques/Collectibles||General||Non-Classifiable||Comics|
McTeague (Library of America}	9780679732730	|19th century fiction||Murderers||19th Century American Novel And Short Story||Literature - Classics / Criticism||English||Literature: Classics||USA||Non-Classifiable||Fiction||Dentists||Married people||San Francisco (Calif.)|
Alchemist	9780517638477	|Non-Classifiable||Sale Books||Nonfiction - General||Fiction|
Scottish Stories of Fantasy and	9780517655009	|Nonfiction - General||Horror tales, Scottish||Fantasy fiction, Scottish||Fiction||Scottish authors||Fantasy||Scotland||Non-Classifiable||Sale Books||Fantasy - General||Horror - General||English fiction|
SASHA'S SECRET BOYFRIEND (Mccracken's Class, No 8)	9780679865643	|General||Non-Classifiable||Schools||Dancing||Fiction||Children's 9-12 - Fiction - General||School stories||Children: Grades 4-6|
Eating The Cheshire Cat	9780684864419	|General||Fiction / General||Fiction - General||Fiction|
