Title	ISBN	Subjects
James Joyce and Critical Theory	9780472064892	|Literary studies: general||Theory, etc||History||Criticism and interpretation||Literature - Classics / Criticism||Literary Criticism||History and criticism||English, Irish, Scottish, Welsh||Literary Criticism & Collections / English, Irish, Scottish, Welsh||Criticism||1882-1941||20th century||Fiction||Joyce, James,|
Was It Murder?	9780486237749	|Crime & mystery||Fiction||Mystery/Suspense||FIC||FIC022000||Mystery & Detective - General|
This Gun for Hire	9780670701728	|Fiction - General||Fiction / General||Fiction||Mystery/Suspense|
Wishing (Sonnet Books)	9780671003418	|Modern fiction||Romance: Historical||Fiction||Fiction - Romance||Romance - Historical||Fiction / Romance / General|
False Conception (John Marshall Tanner Mysteries	9780671007942	|Mystery & Detective - Hard-Boiled||Fiction||Fiction - Mystery/ Detective||Mystery/Suspense||Crime & mystery||Fiction / Mystery & Detective / General||Mystery & Detective - General|
Imzadi II	9780671025380	|Science Fiction||Science Fiction - Star Trek||Science Fiction - Adventure||Fiction||Fiction - Science Fiction||Science Fiction - Space Opera||Science Fiction - High Tech||Fiction / Science Fiction / General|
The Stud	9780671028244	|Modern fiction||Fiction - General||Fiction||General||Fiction / General|
The Faded Banners	9780671081614	|United States - General||Civil War, 1861-1865||Fiction||Sale Books - Adult||American fiction|
Most of P. G. Wodehouse	9780671203498	|Modern fiction||Humorous stories, English||Fiction||Fiction - General||Mystery/Suspense||Humorous||Humor / General||Mystery & Detective - General|
Hermanos!	9780671203566	|Civil War, 1936-1939||History||Fiction||Spain|
Ranks of Bronze	9780671318338	|Science Fiction - Adventure||Fiction||Fiction - Science Fiction||Science Fiction||Science Fiction - Military||Science Fiction - Space Opera||Fiction / Science Fiction / General|
The WICKED CAT SPOOKSVILLE 10	9780671550691	|Fiction||Children's 9-12||Children's Books/Ages 9-12 Fiction||Children: Grades 4-6||Horror stories||Action & Adventure||Action & Adventure - General||Juvenile Fiction / Action & Adventure||Cats|
The Lieutenants	9780515056433	Fiction
Hearththrob (Second Chance at Love)	9780515063059	|General||Fiction||Fiction - General|
Casca	9780515102406	|Men's Adventure||Fiction - Men's  Adventure||Fiction|
Moonlight Charade	9780515104929	|Romance - General||Fiction||Fiction - General||Romance: Regency||General|
