Title	ISBN	Subjects
An Irish love affair	9781497402584	|Fiction||Vacations||Romance fiction||Romans, nouvelles|
Death is the cool night	9781530400355	|Conductors (Music)||Fiction||Crimes against||Pianists||Medical research personnel||Murder||Investigation||Detective and mystery stories||Chefs d'orchestre||Romans, nouvelles||Crimes contre||Pianistes||Médecine||Recherche||Personnel||Meurtre||Enquêtes|
Hobie Hanson, greatest hero of the mall	9780671706463	|Floods||Fiction||Shopping malls||Schools||Inondations||Romans, nouvelles||Galeries marchandes||Écoles|
Never surrender	9780982197462	|Time travel||Fiction||Shapeshifting||Voyages dans le temps||Romans, nouvelles||Métamorphose|
May the best bitch win	9781502566201	|African American women||Fiction||Noires américaines||Romans, nouvelles|
Amani's river	9781503529946	|Kidnapping victims||Fiction||Child soldiers||Friendship||Victimes d'enlèvement||Romans, nouvelles||Enfants soldats||Amitié|
Violet Rose	9781616239428	|Foster children||Comic books, strips||Spirits||Supernatural||Fiction||Mystery and detective stories||Graphic novels||Esprits||Bandes dessinées|
Kiss and tell	9781629530468	|Female friendship||Fiction||Vigilantes||Swindlers and swindling||Amitié féminine||Romans, nouvelles||Membres de groupes d'autodéfense|
A new life in a new land	9781936778591	|Fiction||Childhood and youth||Jewish children in the Holocaust||Holocaust, Jewish (1939-1945)||Personal narratives||Holocaust survivors||Enfants juifs pendant l'Holocauste||Romans, nouvelles||Holocauste, 1939-1945||Récits personnels||Survivants de l'Holocauste||Biographical fiction|
Contract	9780143203094	|Fiction||Mystery and detective|
My addiction	9781515109778	|Man-woman relationships||Fiction||Relations entre hommes et femmes||Romans, nouvelles|
Radek	9781583679586	Fiction
Private Sydney	9780750543422	|Private security services||Fiction||Private investigators||Missing persons||Investigation||Large type books|
Invisible ties	9788129148322	Fiction
Tunnel of Varanavat	9788129137272	|Hindu mythology||Fiction|
Talismans	9781936196036	|Fathers and daughters||Fiction||Vietnam War, 1961-1975||Veterans|
Junior	9781921240843	|Immortality||Fiction|
Town of Love	9781742198477	Fiction
Oxford menace	9780755326419	|Kate Ivory (Fictitious character)||Fiction||Women novelists||Animal experimentation|
The Grapes of Wrath	9780670018086	|California||Fiction / General||Fiction||Migrant agricultural laborers||1902-1968||Steinbeck, John,|
Flashback (Star Trek: Voyager)	9780671003838	|Science Fiction||Science Fiction - Star Trek||American Science Fiction And Fantasy||Fiction - Science Fiction||Fiction||Fiction / Science Fiction / General|
Serpent	9780671046156	|Espionage/Intrigue||Fiction||Abridged Audio - Fiction/General||Audio Adult: Books On Tape||Fiction / Suspense||Thrillers|
THINGS I LIKE TO LOOK AT	9780671444518	|General||Juvenile Fiction / General||Fiction||Perception||Vocabulary||Children's Baby/Preschool||Juvenile Fiction||Children: Babies & Toddlers|
More Than a Summer Love	9780671456603	|Love & Romance||Fiction||Love||Children's All Ages||Children: Grades 2-3|
Schindler's List - International Edition	9780671511715	|Modern fiction||Judaism - General||Religion - Judaism||Fiction||General||Fiction / General||Judaism|
The BUGMAN LIVES R L STINES GHOSTS OF FEAR STREET 10 (Rl Stine's Ghosts of Fear Street)	9780671529505	|Horror & ghost stories, chillers||Horror & Ghost Stories||Children's 9-12 - Fiction - Horror||Children: Grades 4-6||Juvenile Fiction / Action & Adventure||Fiction||Horror stories||Insects|
BELOVED ENEMY	9780671530174	|Romance - Historical||Fiction||Fiction - Romance||Romance: Historical||Romance - General||Fiction / Romance / General|
Separate Beds	9780515090376	|Modern fiction||General||Fiction - Romance||Fiction||Romance - Contemporary||Fiction / Romance / General|
Texas Love Song	9780515119534	|Romance: Historical||Fiction||Fiction - Romance||Romance - Historical||Fiction / General|
California Demon	9780515143201	|American Science Fiction And Fantasy||Fiction||Fiction - Fantasy||Fantasy||Fantasy - General||Fiction / Fantasy / General||Fantasy - Contemporary|
Moonfire	9780671621988	|Romance - General||Fiction / Romance / General||Fiction - Romance||Fiction|
Monkeys	9780671631888	|General||Fiction / General||Fiction||Fiction - General|
